ID link,in_mine,in_BauschFluck,in_Town,in_DiazRamos,in_daCunha
A0A024R8X4,0,0,0,0,1
A0A024RAQ7,0,0,0,0,1
A0A024RBM1,0,0,0,0,1
A0A087X1C5,1,0,0,0,0
A0A0A6YY99,0,0,0,0,1
A0A0A6YYI3,0,0,0,0,1
A0A0B4J1V8,0,0,0,0,1
A0A0J9YXG7,1,0,0,0,0
A0A0K2S4Q6,1,0,0,0,0
A0A126GV92,0,0,0,0,1
A0A126GVC1,0,0,0,0,1
A0A1B0GTQ4,1,0,0,0,0
A0A1B0GTW7,1,0,0,0,0
A0A1B0GV85,1,0,0,0,0
A0A5B9,0,0,1,0,0
A0AV02,0,1,1,0,1
A0AVI2,0,0,1,0,1
A0AVI4,0,0,1,0,1
A0FGR8,0,0,1,0,1
A0FGR9,0,1,1,0,1
A0PJK1,1,1,1,0,1
A0PJW6,0,0,1,0,0
A0PJX4,0,0,1,0,0
A0PJX8,0,0,1,0,1
A0PJZ3,0,0,1,0,0
A0PK00,0,0,1,0,0
A0PK05,0,0,1,0,0
A0PK11,0,1,0,0,0
A0ZSE6,1,1,1,0,0
A1A5B4,1,1,1,0,1
A1A5C7,0,1,1,0,1
A1KXE4,1,0,1,0,0
A1L0T0,0,0,1,0,0
A1L157,0,1,1,0,0
A1L1A6,0,0,1,0,0
A1L3X0,0,0,0,0,1
A2A2V1,1,0,0,0,0
A2A2V5,0,0,1,0,1
A2A2Y4,0,0,1,0,0
A2RRL7,1,1,1,0,0
A2RU14,0,0,1,0,0
A2RU48,0,0,1,0,1
A2RU67,0,0,1,0,1
A2RUG3,0,0,1,0,1
A2RUT3,1,0,1,0,1
A2VDJ0,1,1,1,0,0
A3KFT3,1,1,1,0,1
A4D0T7,1,0,0,0,0
A4D1S0,0,0,1,0,1
A4D256,0,0,1,0,0
A4D2G3,1,1,0,0,1
A4D2H0,0,0,1,0,0
A4FU28,0,0,1,0,0
A4IF30,0,1,0,0,0
A5D6W6,1,0,1,0,1
A5D8X1,0,0,0,0,1
A5PLK6,0,0,1,0,1
A5PLL7,0,0,1,0,0
A5X5Y0,1,1,1,0,1
A5YKK6,0,0,0,0,1
A6BM72,1,1,1,0,1
A6H8M9,1,1,1,0,0
A6NC51,1,1,0,0,0
A6NCQ9,0,0,1,0,0
A6NCV1,1,1,1,0,1
A6ND01,1,1,0,0,0
A6ND48,1,1,1,0,1
A6NDA9,0,1,0,0,1
A6NDD5,1,0,0,0,0
A6NDH6,1,1,1,0,1
A6NDL8,1,1,1,0,1
A6NDP7,0,1,0,0,0
A6NDV4,1,1,1,0,1
A6NDX4,1,0,0,0,0
A6NEH6,0,0,1,0,0
A6NET4,1,1,1,0,1
A6NF34,1,1,0,0,0
A6NF89,1,1,1,0,1
A6NFA1,1,1,1,0,0
A6NFC5,0,1,1,0,0
A6NFC9,0,0,0,0,1
A6NFE2,0,0,1,0,0
